Date,Price,Year,Month,Day,MeanWeek,EMA_7,EMA_30,Time
2012-11-28,136.17,2012,11,28,134.31,134.77381188699528,141.91460162906424,13.939385289607046
2012-11-29,137.43,2012,11,29,134.03428571428572,135.43785891524647,141.62527249170526,24.149352678830844
2012-11-30,134.44,2012,11,30,134.47714285714287,135.18839418643483,141.1617065244985,36.49378447047148
2012-12-01,195.77,2012,12,1,134.44,150.33379563982612,144.68482223259537,88.16253780813246
2012-12-03,166.97,2012,12,3,143.12,154.4928467298696,146.12257563694408,115.88858556510976
2012-12-04,162.34,2012,12,4,147.96142857142857,156.4546350474022,147.1688610797219,127.22790312357962
2012-12-06,142.92,2012,12,6,152.29285714285714,153.07097628555164,146.89474101006243,142.40287199076894
2012-12-07,158.25,2012,12,7,153.72,154.36573221416373,147.62733836425198,145.5753043424125
2012-12-09,154.67,2012,12,9,156.8742857142857,154.4417991606228,148.08170363107445,142.40287199076894
2012-12-10,145.29,2012,12,10,159.33714285714285,152.1538493704671,147.90159371939222,136.19665780426809
2012-12-11,140.16,2012,12,11,160.88714285714286,149.1553870278503,147.4021360600766,127.22790312357967
2012-12-12,131.25,2012,12,12,152.94285714285712,144.67904027088773,146.36006276587813,115.88858556510975
2012-12-13,129.44,2012,12,13,147.83999999999997,140.86928020316577,145.26844581324082,102.674287718246
2012-12-14,128.67,2012,12,14,143.14000000000001,137.81946015237432,144.19757834141885,88.16253780813244
2012-12-17,129.73,2012,12,17,141.1042857142857,135.79709511428075,143.26418619035957,43.3008501636404
2012-12-18,128.73,2012,12,18,137.03,134.03032133571057,142.3264967587235,30.08655231677664
2012-12-19,130.27,2012,12,19,133.3242857142857,133.0902410017829,141.54865825816069,18.74723475830673
2012-12-20,129.41,2012,12,20,131.17857142857142,132.17018075133717,140.76551901569871,9.778480077618369
2012-12-21,130.03,2012,12,21,129.64285714285714,131.63513556350287,140.07290488565363,3.5722658911174188
2012-12-24,131.07,2012,12,24,129.46857142857144,131.49385167262716,139.49207231238566,3.5722658911173943
